BURGLARY-RESIDENCE,170151100,1/16/17,120 PARK AVE SE,305,South Atlanta,Y,33.7118,-84.38684
ROBBERY-PEDESTRIAN,170160001,1/16/17,954 SAINT CHARLES AVE NE,601,Virginia Highland,F,33.77579,-84.35622
ROBBERY-PEDESTRIAN,170160059,1/16/17,185 MONTAG CIR NE,602,Inman Park,N,33.76013,-84.36218
LARCENY-FROM VEHICLE,170160108,1/16/17,3335 MARTIN LUTHER KING DR SW,408,Downtown,M,33.75895,-84.3834
ROBBERY-PEDESTRIAN,170160116,1/16/17,3200 LATONA DR SW @APS LONG MS,312,Glenrose Heights,Z,33.66668,-84.39526
LARCENY-NON VEHICLE,170160141,1/16/17,1950 HOSEA L WILLIAMS DR NE,610,Kirkwood,O,33.75255,-84.32375
LARCENY-FROM VEHICLE,170160187,1/16/17,360 MARIETTA ST NW,507,Downtown,M,33.76269,-84.39702
AUTO THEFT,170160382,1/16/17,657 WOODS DR NW,109,Center Hill,J,33.77281,-84.46796
LARCENY-FROM VEHICLE,170160410,1/16/17,9TH ST NW / WATKINS ST NW,501,Home Park,E,33.78061,-84.40916
LARCENY-FROM VEHICLE,170160420,1/16/17,1821 W ANDERSON AVE NW @SADIE G MAYS REHAB,108,Dixie Hills,J,33.75533,-84.44742
LARCENY-FROM VEHICLE,170160499,1/16/17,407 COLLIER RIDGE DR NW,112,Collier Heights,I,33.76629,-84.47629
LARCENY-FROM VEHICLE,170160515,1/16/17,2060 BAKER RD NW,107,Grove Park,J,33.76994,-84.45512
ROBBERY-PEDESTRIAN,170160533,1/16/17,2537 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82403,-84.36328
AUTO THEFT,170160583,1/16/17,1821 W ANDERSON AVE NW @SADIE G MAYS REHAB,108,Dixie Hills,J,33.75533,-84.44742
LARCENY-FROM VEHICLE,170160676,1/16/17,200 14TH ST NW,501,Home Park,E,33.7865,-84.39366
BURGLARY-RESIDENCE,170160705,1/16/17,585 MCWILLIAMS RD SE,310,Browns Mill Park,Z,33.6887,-84.36924
AUTO THEFT,170160713,1/16/17,2351 ADAMS DR NW,203,Bolton,D,33.82005,-84.45433
LARCENY-NON VEHICLE,170160718,1/16/17,1786 MEADOW LN SW,307,Betmar LaVilla,Y,33.70621,-84.39876
LARCENY-NON VEHICLE,170160804,1/16/17,200 FORSYTH ST SW,512,Downtown,M,33.74891,-84.39596
AUTO THEFT,170160812,1/16/17,2350 CHESHIRE BRIDGE RD NE     ,212,Lindridge/Martin Manor,F,33.8195,-84.35199
LARCENY-FROM VEHICLE,170160863,1/16/17,551 BOULEVARD SE,605,Grant Park,W,33.73945,-84.36826
LARCENY-FROM VEHICLE,170160942,1/16/17,1230 BRONX ST NW,105,Hunter Hills,K,33.75736,-84.42795
LARCENY-NON VEHICLE,170161013,1/16/17,2009 JONESBORO RD SE,307,Lakewood Heights,Y,33.70774,-84.37884
LARCENY-NON VEHICLE,170161090,1/16/17,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
AUTO THEFT,170161228,1/16/17,794 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77614,-84.35269
LARCENY-NON VEHICLE,170161292,1/16/17,994 DEKALB AVE NE,602,Inman Park,N,33.75594,-84.35517
LARCENY-FROM VEHICLE,170161419,1/16/17,600 ARNOLD ST NE,603,Old Fourth Ward,M,33.77022,-84.36904
LARCENY-NON VEHICLE,170161468,1/16/17,743 BONAVENTURE AVE NE,601,Virginia Highland,F,33.77485,-84.36069
LARCENY-FROM VEHICLE,170161646,1/16/17,2331 PEACHTREE RD NE,211,Peachtree Hills,B,33.81831,-84.38853
LARCENY-FROM VEHICLE,170161705,1/16/17,3167 PEACHTREE RD NE,206,Buckhead Village,B,33.84031,-84.37588
ROBBERY-PEDESTRIAN,170161735,1/16/17,1270 W PEACHTREE ST NW,502,Midtown,E,33.7892,-84.38789
AUTO THEFT,170161805,1/16/17,990 STATE ST NW @ PAPA JOHNS,501,Home Park,E,33.78172,-84.39923
LARCENY-NON VEHICLE,170161849,1/16/17,2539 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82403,-84.36328
LARCENY-FROM VEHICLE,170161862,1/16/17,86 DANIEL ST SE,604,Old Fourth Ward,M,33.75197,-84.37016
LARCENY-FROM VEHICLE,170161891,1/16/17,2400 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.82006,-84.36502
LARCENY-NON VEHICLE,170161940,1/16/17,3377 PEACHTREE RD NE,210,Lenox,B,33.84779,-84.36633
LARCENY-NON VEHICLE,170161967,1/16/17,240 PEACHTREE ST NW ,508,Downtown,M,33.76056,-84.38835
LARCENY-FROM VEHICLE,170161996,1/16/17,1025 HOWELL MILL RD NW,501,Home Park,E,33.78285,-84.41126
BURGLARY-RESIDENCE,170162005,1/16/17,3000 STONE HOGAN CONN SW,411,Greenbriar,R,33.67424,-84.49697
AUTO THEFT,170162023,1/16/17,3160 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68593,-84.49685
LARCENY-FROM VEHICLE,170162026,1/16/17,2535 ACORN AVE NE,206,Garden Hills,B,33.82444,-84.37818
LARCENY-FROM VEHICLE,170162109,1/16/17,907 MARIETTA ST NW,504,Marietta Street Artery,E,33.77714,-84.40791
LARCENY-FROM VEHICLE,170162115,1/16/17,1587 HOWELL MILL RD NW,207,Berkeley Park,D,33.79835,-84.41575
AUTO THEFT,170162176,1/16/17,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
LARCENY-FROM VEHICLE,170162184,1/16/17,682 GARIBALDI ST SW,303,Mechanicsville,V,33.73631,-84.39903
AUTO THEFT,170162202,1/16/17,2115 PIEDMONT RD NE @SQUIRE INN MOTEL NE,212,Morningside/Lenox Park,F,33.81235,-84.36578
